gene,gene_name,archetype,coverage_expr,spatial_score,c_cut_used,s_cut_used
ENSG00000169598,DFFB,IV: Basal,0.0197999166319299,0.0795489728151597,0.0711233847436431,0.17284353444795048
ENSG00000198912,C1orf174,IV: Basal,0.0679970821175489,0.0681086298995067,0.0711233847436431,0.17284353444795048
ENSG00000196581,AJAP1,IV: Basal,0.0603897457273864,0.1511930040166436,0.0711233847436431,0.17284353444795048
ENSG00000284692,ENSG00000284692,III: Patchy,0.0076073363901625,0.1752905047675996,0.0711233847436431,0.17284353444795048
ENSG00000131697,NPHP4,IV: Basal,0.0381148395164651,0.0779133098576856,0.0711233847436431,0.17284353444795048
ENSG00000116254,CHD5,IV: Basal,0.0057055022926219,0.105451274593005,0.0711233847436431,0.17284353444795048
ENSG00000116251,RPL22,I: Ubiquitous,0.7168351396415173,0.1545162995041853,0.0711233847436431,0.17284353444795048
ENSG00000158286,RNF207,IV: Basal,0.0414235097957482,0.1028293571437457,0.0711233847436431,0.17284353444795048
ENSG00000116237,ICMT,I: Ubiquitous,0.1515735723218007,0.0548780352862048,0.0711233847436431,0.17284353444795048
ENSG00000097021,ACOT7,IV: Basal,0.0183930804501875,0.1308987474258315,0.0711233847436431,0.17284353444795048
ENSG00000187017,ESPN,IV: Basal,0.0192528136723634,0.1453496030033474,0.0711233847436431,0.17284353444795048
ENSG00000215788,TNFRSF25,IV: Basal,0.0178720300125052,0.096472673682792,0.0711233847436431,0.17284353444795048
ENSG00000171680,PLEKHG5,IV: Basal,0.0075812838682784,0.0939205797278851,0.0711233847436431,0.17284353444795048
ENSG00000162408,NOL9,I: Ubiquitous,0.0787307211338057,0.0539186509758465,0.0711233847436431,0.17284353444795048
ENSG00000204859,ZBTB48,IV: Basal,0.0527563568153397,0.070463087982697,0.0711233847436431,0.17284353444795048
ENSG00000162413,KLHL21,I: Ubiquitous,0.1519904126719466,0.0626676077460883,0.0711233847436431,0.17284353444795048
ENSG00000116273,PHF13,IV: Basal,0.0384014172571905,0.0755752361845925,0.0711233847436431,0.17284353444795048
ENSG00000041988,THAP3,I: Ubiquitous,0.0745623176323468,0.0652481953768265,0.0711233847436431,0.17284353444795048
ENSG00000007923,DNAJC11,I: Ubiquitous,0.2989526886202584,0.0823138897804561,0.0711233847436431,0.17284353444795048
ENSG00000237436,CAMTA1-DT,IV: Basal,0.0118017924135056,0.0863875449516873,0.0711233847436431,0.17284353444795048
ENSG00000171735,CAMTA1,I: Ubiquitous,0.4435962901208837,0.097232323417575,0.0711233847436431,0.17284353444795048
ENSG00000049245,VAMP3,I: Ubiquitous,0.1078313880783659,0.049131801894792,0.0711233847436431,0.17284353444795048
ENSG00000049246,PER3,I: Ubiquitous,0.1547519799916631,0.0926407665754224,0.0711233847436431,0.17284353444795048
ENSG00000116288,PARK7,I: Ubiquitous,0.5219883284701959,0.1487764670041986,0.0711233847436431,0.17284353444795048
ENSG00000116285,ERRFI1,I: Ubiquitous,0.1000937890787828,0.0845400220802614,0.0711233847436431,0.17284353444795048
ENSG00000142599,RERE,I: Ubiquitous,0.4808774489370571,0.1495043623176851,0.0711233847436431,0.17284353444795048
ENSG00000074800,ENO1,I: Ubiquitous,0.7311119216340142,0.1365820649286474,0.0711233847436431,0.17284353444795048
ENSG00000230679,ENO1-AS1,IV: Basal,0.0102386411004585,0.0660581865232345,0.0711233847436431,0.17284353444795048
ENSG00000180758,GPR157,IV: Basal,0.0362651104626927,0.0879251985787708,0.0711233847436431,0.17284353444795048
ENSG00000228526,MIR34AHG,IV: Basal,0.0098739057940808,0.1295029730521186,0.0711233847436431,0.17284353444795048
ENSG00000049239,H6PD,IV: Basal,0.070211546477699,0.0743745048945933,0.0711233847436431,0.17284353444795048
ENSG00000171621,SPSB1,IV: Basal,0.0115412671946644,0.1151265965836349,0.0711233847436431,0.17284353444795048
ENSG00000171612,SLC25A33,I: Ubiquitous,0.1944560233430596,0.0973451317576191,0.0711233847436431,0.17284353444795048
ENSG00000188807,TMEM201,IV: Basal,0.0666684035014589,0.1060386679689748,0.0711233847436431,0.17284353444795048
ENSG00000171608,PIK3CD,IV: Basal,0.025974364318466,0.0648689033909478,0.0711233847436431,0.17284353444795048
ENSG00000231789,PIK3CD-AS2,IV: Basal,0.016074406002501,0.0891951559535922,0.0711233847436431,0.17284353444795048
ENSG00000171603,CLSTN1,I: Ubiquitous,0.3618955814922884,0.0537239931714381,0.0711233847436431,0.17284353444795048
ENSG00000178585,CTNNBIP1,I: Ubiquitous,0.0894904126719466,0.0593084610317253,0.0711233847436431,0.17284353444795048
ENSG00000162441,LZIC,I: Ubiquitous,0.1424812421842434,0.0506229415818299,0.0711233847436431,0.17284353444795048
ENSG00000173614,NMNAT1,IV: Basal,0.0607284285118799,0.0612199427426748,0.0711233847436431,0.17284353444795048
ENSG00000162444,RBP7,IV: Basal,0.0279804085035431,0.1061031698613253,0.0711233847436431,0.17284353444795048
ENSG00000130939,UBE4B,I: Ubiquitous,0.1260681533972488,0.0747269779747012,0.0711233847436431,0.17284353444795048
ENSG00000054523,KIF1B,I: Ubiquitous,0.200057315548145,0.0898022973332129,0.0711233847436431,0.17284353444795048
ENSG00000142657,PGD,I: Ubiquitous,0.1517819924968736,0.0399528742121074,0.0711233847436431,0.17284353444795048
ENSG00000175279,CENPS,IV: Basal,0.060962901208837,0.0765116631103844,0.0711233847436431,0.17284353444795048
ENSG00000241563,CORT,IV: Basal,0.009691538140892,0.0582395361504249,0.0711233847436431,0.17284353444795048
ENSG00000160049,DFFA,I: Ubiquitous,0.1037671946644435,0.0708174162204502,0.0711233847436431,0.17284353444795048
