gene,gene_name,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value,archetype,c_cut_used,s_cut_used,q_value
ENSG00000054523,KIF1B,38384,detect_continuous,1e-06,0.200057315548145,0.0898022973332129,-1,-0.048847982022765,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000142657,PGD,38384,detect_continuous,1e-06,0.1517819924968736,0.0399528742121074,1,0.0287315766524637,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000175279,CENPS,38384,detect_continuous,1e-06,0.060962901208837,0.0765116631103844,-1,-0.0016455686192046,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000241563,CORT,38384,detect_continuous,1e-06,0.009691538140892,0.0582395361504249,-1,-0.0248024096350349,1.0,1.0,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000160049,DFFA,38384,detect_continuous,1e-06,0.1037671946644435,0.0708174162204502,1,0.053995295086452,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000142655,PEX14,38384,detect_continuous,1e-06,0.0990256356815339,0.0753773821574778,1,0.0064783156542764,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000130940,CASZ1,38384,detect_continuous,1e-06,0.1451907044601917,0.0929252840548744,1,0.0449556388629448,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000120948,TARDBP,38384,detect_continuous,1e-06,0.2012036265110462,0.0523809883777157,1,0.0024523009530638,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000116649,SRM,38384,detect_continuous,1e-06,0.1138234681117132,0.077290176499469,1,0.0417353912725991,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000171824,EXOSC10,38384,detect_continuous,1e-06,0.074822842851188,0.0560227854500104,1,0.0294473053547642,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000198793,MTOR,38384,detect_continuous,1e-06,0.1208055439766569,0.0803496991393942,-1,-0.0090927935113761,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000120942,UBIAD1,38384,detect_continuous,1e-06,0.0533816173405585,0.0945608208698562,1,0.0700115877154383,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000116661,FBXO2,38384,detect_continuous,1e-06,0.1402407253022092,0.0894634637616095,1,0.0011266706365429,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000132879,FBXO44,38384,detect_continuous,1e-06,0.133362859524802,0.0663530906407388,1,0.0262472626951647,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000116663,FBXO6,38384,detect_continuous,1e-06,0.0150844101709045,0.0606798427914651,1,0.0335216853830359,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000116670,MAD2L2,38384,detect_continuous,1e-06,0.0744581075448103,0.1199226420667577,1,0.0906559541168272,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000177674,AGTRAP,38384,detect_continuous,1e-06,0.1271884118382659,0.0707617525091226,1,0.0485376014707493,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000177000,MTHFR,38384,detect_continuous,1e-06,0.0398603584827011,0.0734484756438889,1,0.0417460756153053,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000011021,CLCN6,38384,detect_continuous,1e-06,0.057002917882451,0.0804292889376925,1,0.0269307585084525,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000285646,ENSG00000285646,38384,detect_continuous,1e-06,0.0055752396832013,0.0943008906274562,-1,-0.027798219819696,1.0,1.0,low_coverage_expr,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000116685,KIAA2013,38384,detect_continuous,1e-06,0.1190339724885369,0.077037105858906,1,0.0499038258129639,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000083444,PLOD1,38384,detect_continuous,1e-06,0.0404335139641517,0.0674596986181944,1,0.0240718704349721,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000116688,MFN2,38384,detect_continuous,1e-06,0.1560285535639849,0.0648253969799107,1,0.0314214162499976,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000116691,MIIP,38384,detect_continuous,1e-06,0.0422050854522717,0.0643515850834313,1,0.0419659577373955,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000048707,VPS13D,38384,detect_continuous,1e-06,0.2730825343893289,0.0922370769135386,-1,-0.0525708151981449,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000162496,DHRS3,38384,detect_continuous,1e-06,0.1252084201750729,0.1140634753774586,1,0.1023149336875665,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000116731,PRDM2,38384,detect_continuous,1e-06,0.1308878699458107,0.0797589515288186,-1,-0.0250557387171996,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
ENSG00000189337,KAZN,38384,detect_continuous,1e-06,0.4125156315131305,0.2226779609988332,-1,-0.1459854636250237,1.0,0.9722222222222222,,0.009900990099009901,II: Gradient,0.0711233847436431,0.17284353444795048,0.009900990099009901
ENSG00000231606,ENSG00000231606,38384,detect_continuous,1e-06,0.0178199249687369,0.128851249132909,-1,-0.0758584490343442,1.0,0.6666666666666666,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000234593,KAZN-AS1,38384,detect_continuous,1e-06,0.011463109629012,0.1211157791233151,-1,-0.0824891907512534,1.0,0.5,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000175147,TMEM51-AS1,38384,detect_continuous,1e-06,0.0189662359316381,0.09479432236864,1,0.004068486695203,1.0,1.0,,,IV: Basal,0.0711233847436431,0.17284353444795048,
ENSG00000171729,TMEM51,38384,detect_continuous,1e-06,0.1071540225093789,0.0814123705989037,-1,-0.0095326107062494,1.0,1.0,,,I: Ubiquitous,0.0711233847436431,0.17284353444795048,
