gene,archetype,coverage_expr,spatial_score,c_cut_used,s_cut_used
IFFO2,IV: Basal,0.0228531333129049,0.0960328790878985,0.0597574352620383,0.2120822446921291
UBR4,I: Ubiquitous,0.0993751582088756,0.1167508547184434,0.0597574352620383,0.2120822446921291
EMC1-AS1,IV: Basal,0.0226621724243595,0.0924675803652337,0.0597574352620383,0.2120822446921291
EMC1,I: Ubiquitous,0.0635544482784653,0.1019771625195309,0.0597574352620383,0.2120822446921291
MRTO4,I: Ubiquitous,0.0721787749192857,0.069165453901857,0.0597574352620383,0.2120822446921291
AKR7A3,I: Ubiquitous,0.0977586520825839,0.1759339251504355,0.0597574352620383,0.2120822446921291
AKR7A2,I: Ubiquitous,0.2691083014695106,0.0975962099968671,0.0597574352620383,0.2120822446921291
SLC66A1,IV: Basal,0.0319659645523299,0.1057381362380395,0.0597574352620383,0.2120822446921291
CAPZB,I: Ubiquitous,0.360876110792843,0.102518108123459,0.0597574352620383,0.2120822446921291
MICOS10,I: Ubiquitous,0.5967128081464803,0.1092935129385894,0.0597574352620383,0.2120822446921291
NBL1,I: Ubiquitous,0.1056235761201188,0.154574940574088,0.0597574352620383,0.2120822446921291
TMCO4,I: Ubiquitous,0.0737863991437846,0.119823213563303,0.0597574352620383,0.2120822446921291
RNF186,IV: Basal,0.0252068372880001,0.1633836916519423,0.0597574352620383,0.2120822446921291
RNF186-AS1,IV: Basal,0.0070167024163213,0.1600303758554641,0.0597574352620383,0.2120822446921291
OTUD3,IV: Basal,0.0375127122219409,0.0961097282132218,0.0597574352620383,0.2120822446921291
UBXN10,IV: Basal,0.0161073289012643,0.1604610952791059,0.0597574352620383,0.2120822446921291
VWA5B1,IV: Basal,0.0117862836790613,0.1809052381358006,0.0597574352620383,0.2120822446921291
CAMK2N1,I: Ubiquitous,0.3644333124608641,0.1759858737581351,0.0597574352620383,0.2120822446921291
MUL1,I: Ubiquitous,0.0730269965404992,0.1027673249311481,0.0597574352620383,0.2120822446921291
CDA,I: Ubiquitous,0.08351652255781,0.1493077445030879,0.0597574352620383,0.2120822446921291
PINK1,I: Ubiquitous,0.1851032743130959,0.0700559869091404,0.0597574352620383,0.2120822446921291
PINK1-AS,IV: Basal,0.0075007660640296,0.0925228861845198,0.0597574352620383,0.2120822446921291
DDOST,I: Ubiquitous,0.2100791821544829,0.066566069770232,0.0597574352620383,0.2120822446921291
KIF17,IV: Basal,0.0054712515043721,0.1476785382149597,0.0597574352620383,0.2120822446921291
HP1BP3,I: Ubiquitous,0.3663295984936294,0.0583247755345847,0.0597574352620383,0.2120822446921291
EIF4G3,I: Ubiquitous,0.2261021329887155,0.1157002848571757,0.0597574352620383,0.2120822446921291
ECE1,I: Ubiquitous,0.1171078751382246,0.1012255279577308,0.0597574352620383,0.2120822446921291
NBPF3,IV: Basal,0.0221514630712728,0.1321121251973767,0.0597574352620383,0.2120822446921291
ALPL,IV: Basal,0.0245451356044356,0.1846737312166621,0.0597574352620383,0.2120822446921291
RAP1GAP,I: Ubiquitous,0.1660205083112396,0.177022090934072,0.0597574352620383,0.2120822446921291
USP48,I: Ubiquitous,0.1465647024340851,0.0694377072991846,0.0597574352620383,0.2120822446921291
