gene,n_cells_total,expr_threshold_mode,expr_threshold_value,coverage_expr,spatial_score,spatial_sign,r_mean_bg,coverage_bg,coverage_fg,warnings,p_value,archetype,c_cut_used,s_cut_used
DNAJC11,225177,detect_continuous,1e-06,0.1345430483575143,0.1167961384843083,1,0.0175102922373115,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
CAMTA1-DT,225177,detect_continuous,1e-06,0.0067813320188118,0.1291619410254997,1,0.0268833522676864,1.0,1.0,low_coverage_expr,,Rare Scattered,0.0597574352620383,0.2120822446921291
CAMTA1,225177,detect_continuous,1e-06,0.4295509754548643,0.0711520268425155,1,0.0205156205014867,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
VAMP3,225177,detect_continuous,1e-06,0.1538345390515017,0.0547277303055313,1,0.0059555652517556,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
PER3,225177,detect_continuous,1e-06,0.1036429120203217,0.1476034230468112,1,0.0209951672702148,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
PARK7,225177,detect_continuous,1e-06,0.5116774803820994,0.1139221938047277,1,0.040037644662268,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
ERRFI1,225177,detect_continuous,1e-06,0.0910128476709433,0.1460722739639576,1,0.0485128386421334,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
SLC45A1,225177,detect_continuous,1e-06,0.0065903711302664,0.1244256592550368,-1,-0.0073441073348242,1.0,1.0,low_coverage_expr,,Rare Scattered,0.0597574352620383,0.2120822446921291
RERE,225177,detect_continuous,1e-06,0.3481039360147794,0.1412573905703256,-1,-0.0183806506266906,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
ENO1,225177,detect_continuous,1e-06,0.6072423027218588,0.1127424941471101,1,0.0920876472667382,1.0,1.0,,,Ubiquitous Uniform,0.0597574352620383,0.2120822446921291
ENO1-AS1,225177,detect_continuous,1e-06,0.0083090191271755,0.0921960976441245,1,0.0207759566685592,1.0,1.0,low_coverage_expr,,Rare Scattered,0.0597574352620383,0.2120822446921291
SLC2A5,225177,detect_continuous,1e-06,0.0134827269214884,0.1356394271475552,1,0.0653115280896278,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
GPR157,225177,detect_continuous,1e-06,0.0228442514111121,0.1268852711678794,1,0.0284744136675466,1.0,1.0,,,Rare Scattered,0.0597574352620383,0.2120822446921291
MIR34AHG,225177,detect_continuous,1e-06,0.0096368634452008,0.160272647486114,1,0.0805643934070515,1.0,1.0,low_coverage_expr,,Rare Scattered,0.0597574352620383,0.2120822446921291
