gene,coverage,A1_abs,A2_abs
Aes,0.14470954356846474,0.14404569310005602,0.10668953092391013
Ahsg,0.15300829875518673,0.15537428040606563,0.3038360238529286
Ak3,0.10529045643153527,0.10454211908911298,0.17142919425789657
Akr1a1,0.46887966804979253,0.470333136163077,0.06639250955534765
Aldh2,0.2774896265560166,0.2763059228822002,0.0994148753581971
Aldoa,0.3392116182572614,0.338603729330867,0.13804406798681002
Anapc11,0.345954356846473,0.34579630292389396,0.035453291975084004
Anapc13,0.2619294605809129,0.26175440479924417,0.12839945377115436
Anapc5,0.17219917012448133,0.17226304772887482,0.03011472096346508
Angptl2,0.19294605809128632,0.1906016650214295,0.26921518179497306
Angptl4,0.19813278008298754,0.1974514909619607,0.1450373444353723
Ankrd1,0.10269709543568464,0.1024076387599362,0.4357578800658785
Anp32a,0.13070539419087138,0.13106361956287732,0.15201431926863904
Anp32b,0.15197095435684646,0.15189560443512595,0.07519004947385141
Anxa2,0.47717842323651455,0.4771675998261272,0.10648451947524831
Anxa5,0.5518672199170125,0.5505755612092045,0.06210144340291853
Anxa6,0.22821576763485477,0.22752842079697375,0.06293171156466959
Ap2m1,0.10943983402489627,0.10985486490844457,0.0878243249319197
Ap2s1,0.22614107883817428,0.2265520547683375,0.04129440691046704
Aplp2,0.24014522821576764,0.24309459303059153,0.2899174747698504
Apoa1bp,0.11151452282157677,0.11159000688035797,0.06873001051836448
Apoe,0.8122406639004149,0.8132818223583406,0.016264786452921412
App,0.1400414937759336,0.13997868753336531,0.10840887797244399
Aprt,0.2245850622406639,0.2258832015938797,0.11737713624387183
Aqp1,0.1483402489626556,0.14888840029165515,0.3318670592504962
Arf1,0.3112033195020747,0.3118651548891852,0.08549926763032709
Arf4,0.3013485477178423,0.3008859517817158,0.09105318232343901
Arf5,0.29564315352697096,0.2957399544597742,0.04602360098679805
Arhgdia,0.3013485477178423,0.3014219372703466,0.03816857942941241
Arl1,0.12966804979253113,0.12894390978885756,0.07301747974150281
Arl4a,0.11255186721991702,0.1134995240099733,0.23410986049033278
Arl6ip1,0.15300829875518673,0.15379205762777076,0.11580231413906193
Arl6ip5,0.11047717842323651,0.11099904113047748,0.12872098737593654
Arpc1a,0.15508298755186722,0.15514253440344625,0.07287573150604519
